Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal Infection,nipple_inversion,itching,vesicles,skin_rash,skin_dimpling,abdominal_cramps,nodal_eruptions,,,,,,,,,,
Fungal Infection,bloating,numbness,disorientation,skin_rash,iron_deficiency_anemia,polydipsia,vomiting,blood_in_semen,frequent_respiratory_infections,seizures,hunger,itching,dischromic_patches,headache,swelling,reduced_mobility,palpitations
Fungal Infection,leg_pain,itching,changes_in_urination,dischromic_patches,mood_swings,tremors,chest_tightness,skin_rash,night_sweats,weight_gain,vesicles,nodal_eruptions,hives,,,,
Fungal Infection,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,,
Fungal Infection,itching,dry_skin,reduced_mobility,nodal_eruptions,skin_rash,balance_loss,changes_in_urination,bloating_after_meals,dischromic_patches,crusting,,,,,,,
Fungal Infection,dischromic_patches,chronic_cough,hoarseness,abdominal_pain,acid_reflux,palpitations,itching,dizziness,skin_rash,nodal_eruptions,dysphagia,seizures,reduced_mobility,loss_of_appetite,,,
Fungal Infection,confusion,swollen_lymph_nodes,polydipsia,crusting,vesicles,constipation,blood_in_stool,changes_in_urination,nodal_eruptions,dry_skin,weight_loss,stiffness,itching,skin_rash,chronic_cough,,
Fungal Infection,skin_rash,nodal_eruptions,dischromic_patches,,,,,,,,,,,,,,
Fungal Infection,chills,sore_throat,creaking_joints,sneezing,vertigo,phonophobia,nodal_eruptions,vomiting,dischromic_patches,itching,loss_of_appetite,,,,,,
Fungal Infection,skin_rash,itching,diarrhea,yellow_skin,cough,dischromic_patches,nodal_eruptions,,,,,,,,,,
Fungal Infection,pelvic_pain,cloudy_urine,itching,swelling_in_legs,hunger,dischromic_patches,vomiting_blood,chest_tightness,skin_rash,dark_urine,confusion,indigestion,bloating_after_meals,dizziness,,,
Fungal Infection,blood_in_stool,nodal_eruptions,nipple_discharge,itching,swelling,diarrhea,skin_rash,dischromic_patches,leg_pain,memory_loss,oiliness,,,,,,
Fungal Infection,numbness,blood_in_semen,cough,dischromic_patches,night_sweats,constipation,itching,vomiting_blood,skin_rash,,,,,,,,
Fungal Infection,itching,skin_rash,dischromic_patches,nodal_eruptions,,,,,,,,,,,,,
Fungal Infection,phonophobia,headache,itching,dischromic_patches,skin_rash,blisters,cloudy_urine,,,,,,,,,,
Fungal Infection,nodal_eruptions,itching,frequent_urination,dischromic_patches,breast_lump,persistent_cough,skin_rash,,,,,,,,,,
Fungal Infection,skin_rash,itching,leg_pain,dischromic_patches,nodal_eruptions,,,,,,,,,,,,
Fungal Infection,itching,fever,skin_rash,headache,nodal_eruptions,neck_pain,numbness,chest_tightness,disorientation,confusion,oiliness,hoarseness,arm_pain,breathlessness,dischromic_patches,abdominal_pain,polyuria
Fungal Infection,acid_reflux,itching,high_blood_pressure,weight_loss,vertigo,loss_of_appetite,scarring,skin_rash,dischromic_patches,nodal_eruptions,anal_pain,,,,,,
Fungal Infection,blisters,skin_rash,nodal_eruptions,high_blood_pressure,dischromic_patches,itching,heart_palpitations,stiffness,persistent_cough,,,,,,,,
Fungal Infection,runny_nose,itchy_eyes,dischromic_patches,nausea,nodal_eruptions,scaling,disorientation,loss_of_appetite,itching,skin_rash,burning_urination,neck_pain,,,,,
Fungal Infection,skin_rash,nausea,wheezing,erectile_dysfunction,vomiting,stiffness,itching,chronic_cough,yellow_skin,high_blood_pressure,palpitations,dischromic_patches,headache,heart_palpitations,phonophobia,nodal_eruptions,
Fungal Infection,stiffness,arm_pain,itching,weight_gain,nipple_inversion,abdominal_pain,bloating_after_meals,phonophobia,,,,,,,,,
Fungal Infection,sore_throat,photophobia,urinary_difficulty,reduced_mobility,vesicles,chills,oiliness,dysphagia,chest_pain,indigestion,palpitations,loss_of_appetite,itching,skin_rash,,,
Fungal Infection,dry_skin,fatigue,iron_deficiency_anemia,weight_loss,itching,fever,arm_pain,numbness,changes_in_bowel_habits,dischromic_patches,acid_reflux,sweating,crusting,nodal_eruptions,,,
Fungal Infection,tremors,nodal_eruptions,skin_rash,dischromic_patches,dry_skin,itching,,,,,,,,,,,
Fungal Infection,nodal_eruptions,itching,skin_rash,dischromic_patches,,,,,,,,,,,,,
Fungal Infection,itching,nodal_eruptions,dischromic_patches,wheezing,vomiting,breast_pain,reduced_mobility,breathlessness,chronic_cough,leg_pain,,,,,,,
Fungal Infection,runny_nose,headache,visual_aura,vertigo,nodal_eruptions,weight_loss,skin_rash,itching,dischromic_patches,palpitations,,,,,,,
Fungal Infection,itching,phonophobia,bone_pain,skin_rash,visible_veins,persistent_cough,bloating,wheezing,nausea,dischromic_patches,cramps,,,,,,
Fungal Infection,dysphagia,dry_skin,photophobia,blackheads,vomiting,skin_dimpling,nodal_eruptions,wheezing,itching,dischromic_patches,vomiting_blood,abdominal_pain,indigestion,skin_rash,dehydration,oiliness,
Fungal Infection,nodal_eruptions,itching,dischromic_patches,burning_urination,abdominal_cramps,skin_rash,,,,,,,,,,,
Fungal Infection,itching,loss_of_appetite,nodal_eruptions,muscle_pain,chronic_cough,fatigue,breast_lump,nasal_congestion,sweating,oiliness,constipation,dischromic_patches,nipple_discharge,coughing_blood,blurred_vision,vertigo,numbness
Fungal Infection,high_blood_pressure,skin_rash,bloating_after_meals,itching,hoarseness,dischromic_patches,,,,,,,,,,,
Fungal Infection,itching,dischromic_patches,nodal_eruptions,skin_rash,anal_pain,,,,,,,,,,,,
Fungal Infection,nodal_eruptions,skin_rash,itching,,,,,,,,,,,,,,
Fungal Infection,skin_rash,itching,dark_urine,changes_in_bowel_habits,shortness_of_breath,dischromic_patches,bone_pain,jaundice,,,,,,,,,
Fungal Infection,nasal_congestion,dischromic_patches,breast_lump,palpitations,weakness,skin_rash,nodal_eruptions,cloudy_urine,dizziness,chest_tightness,blood_in_semen,frequent_urination,bloating_after_meals,,,,
Fungal Infection,frequent_urination,cloudy_urine,shortness_of_breath,polyuria,balance_loss,vomiting,nasal_congestion,dischromic_patches,pimples,nausea,constipation,itching,iron_deficiency_anemia,skin_rash,itchy_eyes,swelling_in_legs,chest_pain
Fungal Infection,burning_urination,cough,leg_pain,creaking_joints,skin_rash,abdominal_pain,nodal_eruptions,dehydration,,,,,,,,,
Fungal Infection,urinary_difficulty,nail_pitting,dischromic_patches,sneezing,runny_nose,skin_rash,tremors,oiliness,constipation,nodal_eruptions,,,,,,,
Fungal Infection,skin_rash,skin_dimpling,acid_reflux,breast_pain,nausea,jaundice,nodal_eruptions,confusion,dischromic_patches,cold_intolerance,itching,bone_pain,cloudy_urine,visual_aura,,,
Fungal Infection,sneezing,dischromic_patches,shortness_of_breath,blurred_vision,sore_throat,itching,confusion,cloudy_urine,headache,night_sweats,chest_pain,dehydration,,,,,
Fungal Infection,dizziness,breast_pain,nodal_eruptions,dischromic_patches,sweating,vertigo,skin_rash,abdominal_pain,nipple_discharge,cloudy_urine,itching,nausea,,,,,
Fungal Infection,dischromic_patches,skin_rash,itching,,,,,,,,,,,,,,
Fungal Infection,blisters,blackheads,dischromic_patches,breathlessness,itching,balance_loss,skin_rash,nodal_eruptions,fatigue,confusion,swelling_in_legs,cold_intolerance,bloating,weakness,weight_gain,,
Fungal Infection,nodal_eruptions,itching,dischromic_patches,skin_rash,,,,,,,,,,,,,
Fungal Infection,burning_urination,nodal_eruptions,swollen_lymph_nodes,chills,wheezing,skin_rash,itchy_eyes,nasal_congestion,pimples,confusion,weakness,neck_pain,nipple_inversion,numbness,memory_loss,itching,indigestion
Fungal Infection,nodal_eruptions,diarrhea,dizziness,disorientation,heartburn,itching,nipple_discharge,black_stools,,,,,,,,,
Fungal Infection,skin_rash,dischromic_patches,nodal_eruptions,itching,sweating,,,,,,,,,,,,
Fungal Infection,skin_rash,nodal_eruptions,dischromic_patches,pelvic_pain,itching,blurred_vision,,,,,,,,,,,
Fungal Infection,skin_rash,dischromic_patches,hunger,dysphagia,itching,weight_gain,high_blood_pressure,difficulty_speaking,diarrhea,cloudy_urine,nodal_eruptions,,,,,,
Fungal Infection,scaling,weight_gain,skin_rash,nodal_eruptions,runny_nose,nausea,visible_veins,disorientation,sneezing,,,,,,,,
Fungal Infection,blisters,indigestion,itching,abdominal_pain,memory_loss,,,,,,,,,,,,
Fungal Infection,skin_rash,nodal_eruptions,arm_pain,itching,bloating_after_meals,dischromic_patches,scarring,jaundice,neck_pain,nasal_congestion,high_blood_pressure,,,,,,
Fungal Infection,heartburn,dizziness,frequent_urination,nodal_eruptions,night_sweats,urinary_difficulty,disorientation,erectile_dysfunction,dark_urine,skin_rash,cold_intolerance,dischromic_patches,itching,anal_pain,reduced_mobility,skin_dimpling,weight_gain
Fungal Infection,skin_rash,itching,nodal_eruptions,,,,,,,,,,,,,,
Fungal Infection,abdominal_pain,nausea,skin_rash,hives,dischromic_patches,shortness_of_breath,sweating,oiliness,itching,erectile_dysfunction,nipple_discharge,bloating,blackheads,,,,
Fungal Infection,itching,skin_rash,itchy_eyes,nodal_eruptions,,,,,,,,,,,,,
Fungal Infection,skin_rash,itching,palpitations,dischromic_patches,confusion,itchy_eyes,nodal_eruptions,,,,,,,,,,
Fungal Infection,itching,dischromic_patches,nodal_eruptions,,,,,,,,,,,,,,
Fungal Infection,dischromic_patches,itching,changes_in_urination,swelling,night_sweats,disorientation,erectile_dysfunction,seizures,heartburn,confusion,skin_rash,creaking_joints,,,,,
Fungal Infection,dry_skin,breast_lump,itching,breast_pain,blackheads,loss_of_appetite,dischromic_patches,nodal_eruptions,blisters,reduced_mobility,crusting,cough,dysphagia,,,,
Fungal Infection,dischromic_patches,nodal_eruptions,itching,skin_rash,,,,,,,,,,,,,
Fungal Infection,fatigue,cloudy_urine,arm_pain,itching,phonophobia,persistent_cough,breathlessness,oiliness,acid_reflux,nasal_congestion,polydipsia,dizziness,fever,frequent_urination,itchy_eyes,,
Fungal Infection,confusion,itching,bloating_after_meals,dehydration,skin_rash,dischromic_patches,,,,,,,,,,,
Fungal Infection,nodal_eruptions,loss_of_appetite,iron_deficiency_anemia,itching,numbness,hives,hunger,changes_in_urination,dischromic_patches,skin_rash,,,,,,,
Fungal Infection,changes_in_bowel_habits,black_stools,joint_pain,blackheads,frequent_urination,dizziness,blurred_vision,itching,wheezing,skin_rash,cough,,,,,,
Fungal Infection,fever,persistent_cough,weight_gain,visual_aura,blisters,cold_intolerance,acid_reflux,reduced_mobility,dischromic_patches,itching,skin_rash,,,,,,
Fungal Infection,nodal_eruptions,skin_rash,dischromic_patches,vertigo,,,,,,,,,,,,,
Fungal Infection,pelvic_pain,swelling,itching,nodal_eruptions,skin_rash,urinary_difficulty,persistent_cough,dischromic_patches,heartburn,,,,,,,,
Fungal Infection,nodal_eruptions,dischromic_patches,weight_loss,skin_rash,,,,,,,,,,,,,
Fungal Infection,nodal_eruptions,blood_in_stool,shortness_of_breath,bleeding,dischromic_patches,phonophobia,abdominal_pain,cloudy_urine,skin_rash,blisters,itching,chronic_cough,,,,,
Fungal Infection,vomiting_blood,itching,cough,nodal_eruptions,sneezing,skin_rash,,,,,,,,,,,
